date,market_cap,total_volume
2013-11-13,5023605911,0
2013-11-14,5079430282,0
2013-11-15,5262759441,0
2013-11-16,5428071488,0
2013-11-17,6042484404,0
2013-11-18,7186926483,0
2013-11-19,7626310158,0
2013-11-20,7015080815,0
2013-11-21,8325576527,0
2013-11-22,9079252023,0
2013-11-23,10187048865,0
2013-11-24,9439996549,0
2013-11-25,9901491816,0
2013-11-26,10554856207,0
2013-11-27,11801379410,0
2013-11-28,12973150738,0
2013-11-29,14352742242,0
2013-11-30,14783471606,0
2013-12-01,13670082916,0
2013-12-02,12934629749,0
2013-12-03,14228297508,0
2013-12-04,14982216331,0
2013-12-05,13297317633,0
2013-12-06,13405999927,0
2013-12-07,10667602255,0
2013-12-08,9844693060,0
2013-12-09,11895605908,0
2013-12-10,12409063841,0
2013-12-11,11775887549,0
2013-12-12,11646109693,0
2013-12-13,11875443408,0
2013-12-14,11492648609,0
2013-12-15,11335458500,0
2013-12-16,10388874310,0
2013-12-17,9098127487,0
2013-12-18,7306893603,0
2013-12-19,8835494401,0
2013-12-20,9056703218,0
2013-12-21,7828440843,0
2013-12-22,8497209350,0
2013-12-23,8459829344,0
2013-12-24,8638129334,0
2013-12-25,8807257128,0
2013-12-26,9755288486,0
2013-12-27,9705379921,96724906
2013-12-28,9773513412,42676288
2013-12-29,9638698080,34115372
2013-12-30,10102159273,41474793
2013-12-31,10025271872,30625550
2014-01-01,10179969984,31971290
2014-01-02,10275923058,35031201
2014-01-03,10877544555,79991883
2014-01-04,11196107636,48974007
2014-01-05,12059499694,86266146
2014-01-06,12347849105,150343490
2014-01-07,10922300190,119933653
2014-01-08,11035218222,132187624
2014-01-09,11221763857,79518296
2014-01-10,11353376224,39030836
2014-01-11,11944197735,74474477
2014-01-12,11443885340,61866912
2014-01-13,11078203861,57619539
2014-01-14,11041689147,38013023
2014-01-15,11362756736,40931427
2014-01-16,11083510038,26600185
2014-01-17,10743084241,49001592
2014-01-18,11094296038,25560764
2014-01-19,11099255013,27360401
2014-01-20,11502512088,35828656
2014-01-21,11522814614,47538353
2014-01-22,11470071154,31561546
2014-01-23,11210435634,34275214
2014-01-24,10670685838,52630992
2014-01-25,10647348634,45237381
2014-01-26,11304410494,37448973
2014-01-27,11785569423,49503424
2014-01-28,10333069920,86807932
2014-01-29,10832347338,43599085
2014-01-30,10829091531,24762879
2014-01-31,10856691872,39727260
2014-02-01,11077659802,20191136
2014-02-02,11126241474,26248958
2014-02-03,10820086711,18997802
2014-02-04,11047677775,21501758
2014-02-05,11034383385,21925113
2014-02-06,10685585969,58420764
2014-02-07,9601412885,82389158
2014-02-08,9348863958,96152744
2014-02-09,8980123357,43155927
2014-02-10,9168458435,65962244
2014-02-11,9325149530,139877334
2014-02-12,8781238012,88312664
2014-02-13,8717473528,31469000
2014-02-14,8344348214,121270516
2014-02-15,8599926475,72751577
2014-02-16,8211226003,31344372
2014-02-17,8604465462,59292654
2014-02-18,8350398847,27662689
2014-02-19,8309968623,18279350
2014-02-20,7947889017,45142303
2014-02-21,7781952577,67656176
2014-02-22,7648743832,26172668
2014-02-23,8346976673,58859421
2014-02-24,7683049421,56679974
2014-02-25,6585997412,138998277
2014-02-26,7604898347,89728794
2014-02-27,7845250618,45111238
2014-02-28,7595455186,32051548
2014-03-01,7508453186,28538889
2014-03-02,7505614519,15512690
2014-03-03,7833183055,49793089
2014-03-04,9038462155,136294661
2014-03-05,8822681833,43023793
2014-03-06,8788362380,26955822
2014-03-07,8309717413,37482783
2014-03-08,8202092135,28979508
2014-03-09,8536826319,23685416
2014-03-10,8349195642,23135924
2014-03-11,8396602425,17997111
2014-03-12,8595599642,36310523
2014-03-13,8616516460,22235581
2014-03-14,8487535208,18182068
2014-03-15,8605877989,10191568
2014-03-16,8510383023,11094789
2014-03-17,8437028022,21340008
2014-03-18,8347925796,51380925
2014-03-19,8285020394,52259542
2014-03-20,8020040632,38068627
2014-03-21,7880869421,58396310
2014-03-22,7613230698,26504198
2014-03-23,7686567305,13978196
2014-03-24,7751590853,26234472
2014-03-25,7900997657,26827559
2014-03-26,7923313909,24528789
2014-03-27,7669513173,37645801
2014-03-28,6837221534,113737561
2014-03-29,6812171468,35046494
2014-03-30,6372011779,27316261
2014-03-31,6214222736,68900730
2014-04-01,6486144996,44087949
2014-04-02,5905678740,66330811
2014-04-03,5998828521,53095111
2014-04-04,6037303785,29971519
2014-04-05,6229332458,17006077
2014-04-06,6224445106,16147162
2014-04-07,6185182418,14320297
2014-04-08,6124846250,15117952
2014-04-09,5989737801,15968117
2014-04-10,4918786442,72120151
2014-04-11,5702219784,82773130
2014-04-12,5694962416,27677182
2014-04-13,5594111313,29429344
2014-04-14,6204698183,64126096
2014-04-15,6992046941,67466255
2014-04-16,7150730884,81314447
2014-04-17,6721921581,49022107
2014-04-18,6502902618,29691110
2014-04-19,6808059665,28207121
2014-04-20,6758971940,19584917
2014-04-21,6726724615,20271567
2014-04-22,6614684895,45807391.35
2014-04-23,6661461010,41100726
2014-04-24,6793641795,79126309.95
2014-04-25,6242305203,198773297.8
2014-04-26,6201548586,71478956.63
2014-04-27,5897034216,42450882.44
2014-04-28,5959730785,77929954.59
2014-04-29,6060231821,74150507.53
2014-04-30,6081942614,132244548.3
2014-05-01,6219094086,61069110.64
2014-05-02,6094816982,46778850.11
2014-05-03,5939164406,42612180.1
2014-05-04,5926124594,28655868.07
2014-05-05,5887680235,25834516.79
2014-05-06,5842595261,67952590.47
2014-05-07,5979711582,59659208.24
2014-05-08,5995018158,49336977
2014-05-09,6128372479,55211387.43
2014-05-10,6193352746,28472723.26
2014-05-11,5983084421,38524781.51
2014-05-12,6020455849,26145449.33
2014-05-13,6017000120,16560134.14
2014-05-14,6073735319,20200860.83
2014-05-15,6125480020,24955475.02
2014-05-16,6136083436,22771303.53
2014-05-17,6139095181,9520476.731
2014-05-18,6110971344,13500558.2
2014-05-19,6112875450,18525670.03
2014-05-20,6637380059,85446573.33
2014-05-21,6719779610,39168281.04
2014-05-22,7134937059,55144042.48
2014-05-23,7101420502,101124394.1
2014-05-24,7164371721,34218582.9
2014-05-25,7783951192,102329667.6
2014-05-26,7922196283,65390632.76
2014-05-27,7759648530,65286102.82
2014-05-28,7822201224,35780926.48
2014-05-29,7710485683,20832707.8
2014-05-30,8331383032,54570415.97
2014-05-31,8431991302,25817053.35
2014-06-01,8536886871,64553675.4
2014-06-02,8945251409,51623479.84
2014-06-03,9039374058,44991834.06
2014-06-04,8684865105,49274882.44
2014-06-05,8912189946,30247123.66
2014-06-06,8846569115,17694199.48
2014-06-07,8857759926,15440721.53
2014-06-08,8875856715,8442844.028
2014-06-09,8721062526,17929995.39
2014-06-10,8801948384,17613776.28
2014-06-11,8548757571,23498606.27
2014-06-12,7701066121,45918322.16
2014-06-13,8071290757,41134602.26
2014-06-14,7742653852,37064091.43
2014-06-15,7925148452,22072844.5
2014-06-16,8037550837,29006135.38
2014-06-17,8228691726,16689966.25
2014-06-18,8194826770,17078514.02
2014-06-19,8051578224,15360661.85
2014-06-20,8008259747,20679331.01
2014-06-21,8032973549,10658060.87
2014-06-22,8083339980,11784620.09
2014-06-23,7969580102,13428368.54
2014-06-24,7919413122,13721789.39
2014-06-25,7630702995,21099636.61
2014-06-26,7874843294,17100466.73
2014-06-27,8123816876,22460634.52
2014-06-28,8076898160,15894122.1
2014-06-29,8118788291,11599709.24
2014-06-30,8626401656,54789899.16
2014-07-01,8683670452,45848790.43
2014-07-02,8727963264,38530674.94
2014-07-03,8626990973,22950440.91
2014-07-04,8436757442,27580311.82
2014-07-05,8441375928,16071270.27
